sent
364	разобраться	0 разобраться INFN perf intr
365	,	0 , PNCT
365	так	0 так ADVB Ques
366	ли	0 ли PRCL
367	это	0 это ADJF Apro Subx neut sing nomn
368	.	0 . PNCT
/sent
sent
368	Пока	0 пока ADVB
369	мы	0 мы ADJF Apro Subx plur 1per nomn
370	пытаемся	0 пытаться VERB impf intr plur pres 1per indc
371	сделать	0 сделать INFN perf tran actv
372	так	0 так ADVB Ques
373	,	0 , PNCT
373	чтобы	0 чтобы CONJ
374	административно-территориальное	0 административно-территориальный ADJF neut sing nomn
375	устройство	0 устройство NOUN neut inan sing nomn
376	максимально	0 максимально ADVB
377	соответствовало	0 соответствовать VERB impf intr actv neut sing past indc
378	требуемой	0 требовать PRTF impf tran femn sing datv pssv pres
379	структуре	0 структура NOUN femn inan sing datv
380	органов	0 орган NOUN masc inan plur gent
381	местного	0 местный ADJF neut sing gent
382	самоуправления	0 самоуправление NOUN neut inan sing gent
383	.	0 . PNCT
/sent
sent
383	По	0 по PREP
384	просьбе	0 просьба NOUN femn inan sing datv
385	участников	0 участник NOUN masc anim plur gent
386	торгов	0 торги NOUN plur gent
387	Сибирской	0 сибирский ADJF femn sing gent
388	межбанковской	0 межбанковский ADJF femn sing gent
389	валютной	0 валютный ADJF femn sing gent
390	биржи	0 биржа NOUN femn inan sing gent
391	.	0 . PNCT
/sent
sent
391	Опрос	0 опрос NOUN masc inan sing nomn
392	,	0 , PNCT
392	проведённый	0 провести PRTF perf tran masc sing nomn pssv past
393	в	0 в PREP
394	начале	0 начало NOUN neut inan sing loct
395	марта	0 март NOUN masc inan sing gent
396	социологической	0 социологический ADJF femn sing ablt
397	службой	0 служба NOUN femn inan sing ablt
398	Validata	0 Validata UNKN
399	(	0 ( PNCT
399	опрошены	0 опросить PRTS perf plur pssv past
400	1000	0 1000 NUMR
401	человек	0 человек NOUN masc anim plur gent
402	в	0 в PREP
403	73	0 73 NUMR
404	населённых	0 населенный ADJF plur loct
405	пунктах	0 пункт NOUN masc inan plur loct
406	Чечни	0 Чечня NOUN femn inan sing gent
407	)	0 ) PNCT
408	,	0 , PNCT
409	показывает	0 показывать VERB impf tran sing actv pres 3per indc
410	,	0 , PNCT
410	что	0 что CONJ
411	66	0 66 NUMR
412	,	0 , PNCT
412	5	0 5 NUMR
413	процента	0 процент NOUN masc inan sing gent
414	чеченцев	0 чеченец NOUN masc anim plur gent
415	намерены	0 намерен ADJS plur
416	прийти	0 прийти INFN perf intr actv
417	на	0 на PREP
418	референдум	0 референдум NOUN masc inan sing accs
419	и	0 и CONJ
420	подавляющее	0 подавлять PRTF impf tran neut sing nomn actv pres
421	большинство	0 большинство NOUN neut inan sing nomn
422	из	0 из PREP
423	них	0 они ADJF Apro Subx plur 3per gent
424	--	0 -- PNCT
424	более	0 более ADVB
425	80	0 80 NUMR
426	процентов	0 процент NOUN masc inan plur gent
427	--	0 -- PNCT
427	положительно	0 положительно ADVB
428	ответят	0 ответить VERB perf intr actv plur futr 3per indc
429	на	0 на PREP
430	все	0 весь ADJF Apro plur accs inan
431	три	0 три NUMR accs
432	вопроса	0 вопрос NOUN masc inan sing gent
433	.	0 . PNCT
/sent
sent
433	Судя	0 судить GRND impf tran actv pres
434	по	0 по PREP
435	опыту	0 опыт NOUN masc inan sing datv
436	последних	0 последний ADJF plur gent
437	лет	0 год NOUN masc inan plur gent
438	,	0 , PNCT
438	вряд	0 вряд ADVB
439	ли	0 ли PRCL
440	регионы	0 регион NOUN masc inan plur nomn
441	смогут	0 смочь VERB perf intr actv plur futr 3per indc
442	добиться	0 добиться INFN perf intr
443	чего-то	0 что-то ADJF Apro Subx neut sing gent
444	большего	0 больший ADJF masc sing gent
445	,	0 , PNCT
445	чем	0 чем CONJ
446	мелких	0 мелкий ADJF plur gent
447	уступок	0 уступка NOUN femn inan plur gent
448	.	0 . PNCT
/sent
sent
448	ЮКОС	0 Юкос NOUN masc inan sing nomn
449	:	0 : PNCT
449	как	0 как ADVB Ques
450	можно	0 можно PRED
451	скорее	0 скоро ADVB
452	выйти	0 выйти INFN perf intr actv
453	на	0 на PREP
454	президента	0 президент NOUN masc anim sing accs
455	,	0 , PNCT
455	одновременно	0 одновременно ADVB
456	используя	0 использовать GRND impf tran actv pres
457	ресурс	0 ресурс NOUN masc inan sing accs
458	будущих	0 будущий ADJF plur gent
459	партнёров	0 партнер NOUN masc anim plur gent
460	по	0 по PREP
461	бизнесу	0 бизнес NOUN masc inan sing datv
462	.	0 . PNCT
/sent
sent
462	Самый	0 самый ADJF Apro masc sing nomn
463	удачливый	0 удачливый ADJF masc sing nomn
464	из	0 из PREP
465	"	0 " PNCT
465	семейных	0 семейный ADJF plur gent
466	"	0 " PNCT
467	,	0 , PNCT
468	похоже	0 похоже CONJ Prnt
469	,	0 , PNCT
469	свертывает	0 свертывать VERB impf tran sing actv pres 3per indc
470	свой	0 свой ADJF Apro masc sing accs inan
471	бизнес	0 бизнес NOUN masc inan sing accs
472	в	0 в PREP
473	России	0 Россия NOUN femn inan sing loct
474	.	0 . PNCT
/sent
sent
474	Пока	0 пока CONJ
475	крестьянство	0 крестьянство NOUN neut inan sing nomn
476	остаётся	0 оставаться VERB impf intr sing pres 3per indc
477	для	0 для PREP
478	большинства	0 большинство NOUN neut inan sing gent
479	представителей	0 представитель NOUN masc anim plur gent
480	власти	0 власть NOUN femn inan sing gent
481	если	0 если CONJ
482	не	0 не PRCL
483	чужим	0 чужой ADJF neut sing ablt
484	,	0 , PNCT
484	то	0 то CONJ
485	чем-то	0 что-то ADJF Apro Subx neut sing ablt
486	очень	0 очень ADVB
487	далёким	0 далекий ADJF neut sing ablt
488	.	0 . PNCT
/sent
sent
488	Конечно	0 конечно CONJ Prnt
489	,	0 , PNCT
489	могут	0 мочь VERB impf intr actv plur pres 3per indc
490	быть	0 быть INFN impf intr actv
491	и	0 и CONJ
492	другие	0 другой ADJF Apro plur nomn
493	методологические	0 методологический ADJF plur nomn
494	подходы	0 подход NOUN masc inan plur nomn
495	к	0 к PREP
496	определению	0 определение NOUN neut inan sing datv
497	объёма	0 объем NOUN masc inan sing gent
498	ВВП	0 ВВП NOUN masc inan Fixd sing gent
499	на	0 на PREP
500	2025	0 2025 NUMR
501	год	0 год NOUN masc inan sing accs
502	:	0 : PNCT
502	от	0 от PREP
503	численности	0 численность NOUN femn inan sing gent
504	занятых	0 занять PRTF perf tran plur gent pssv past
505	и	0 и CONJ
506	производительности	0 производительность NOUN femn inan sing gent
507	труда	0 труд NOUN masc inan sing gent
508	,	0 , PNCT
508	от	0 от PREP
509	инвестиций	0 инвестиция NOUN femn inan plur gent
510	,	0 , PNCT
510	роста	0 рост NOUN masc inan sing gent
511	основных	0 основной ADJF plur gent
512	фондов	0 фонд NOUN masc inan plur gent
513	и	0 и CONJ
514	их	0 их ADJF Apro
515	отдачи	0 отдача NOUN femn inan sing gent
516	,	0 , PNCT
516	от	0 от PREP
517	платёжеспособности	0 платежеспособность NOUN femn inan sing gent
518	внутреннего	0 внутренний ADJF masc sing gent
519	спроса	0 спрос NOUN masc inan sing gent
520	в	0 в PREP
521	сочетании	0 сочетание NOUN neut inan sing loct
522	с	0 с PREP
523	импортом	0 импорт NOUN masc inan sing ablt
524	и	0 и CONJ
525	экспортом	0 экспорт NOUN masc inan sing ablt
526	и	0 и CONJ
527	т	0 так ADVB Ques
528	.	0 . PNCT
528	д	0 далее ADVB
529	.	0 . PNCT
529	Представляется	0 представляться VERB perf intr sing futr 3per indc
530	целесообразным	0 целесообразный ADJF neut sing ablt
531	осуществить	0 осуществить INFN perf tran actv
532	расчёты	0 расчет NOUN masc inan plur accs
533	ВВП	0 ВВП NOUN masc inan Fixd sing gent
534	на	0 на PREP
535	2025	0 2025 NUMR
536	год	0 год NOUN masc inan sing accs
537	разными	0 разный ADJF plur ablt
538	методами	0 метод NOUN masc inan plur ablt
539	,	0 , PNCT
539	чтобы	0 чтобы CONJ
540	получить	0 получить INFN perf tran actv
541	створ	0 створ NOUN masc inan sing accs
542	возможных	0 возможный ADJF plur gent
543	решений	0 решение NOUN neut inan plur gent
544	.	0 . PNCT
/sent
sent
544	Кроме	0 кроме PREP
545	того	0 то ADJF Apro Subx neut sing gent
546	,	0 , PNCT
546	председатель	0 председатель NOUN masc anim sing nomn
547	партии	0 партия NOUN femn inan sing gent
548	"	0 " PNCT
548	Либеральная	0 либеральный ADJF femn sing nomn
549	Россия	0 Россия NOUN femn inan sing nomn
550	"	0 " PNCT
550	сообщил	0 сообщить VERB perf tran masc sing actv past indc
551	,	0 , PNCT
551	что	0 что CONJ
552	в	0 в PREP
553	ходе	0 ход NOUN masc inan sing loct
554	расследования	0 расследование NOUN neut inan sing gent
555	данного	0 данный ADJF Apro neut sing gent
556	уголовного	0 уголовный ADJF neut sing gent
557	дела	0 дело NOUN neut inan sing gent
558	в	0 в PREP
559	его	0 его ADJF Apro
560	адрес	0 адрес NOUN masc inan sing accs
561	неоднократно	0 неоднократно ADVB
562	поступали	0 поступать VERB impf intr actv plur past indc
563	угрозы	0 угроза NOUN femn inan plur nomn
564	.	0 . PNCT
/sent
sent
564	Электорат	0 электорат NOUN masc inan sing nomn
565	самой	0 самый ADJF Apro femn sing gent
566	оппозиционной	0 оппозиционный ADJF femn sing gent
567	партии	0 партия NOUN femn inan sing gent
568	демонстрирует	0 демонстрировать VERB impf tran sing actv pres 3per indc
569	приверженность	0 приверженность NOUN femn inan sing accs
570	к	0 к PREP
571	идеалам	0 идеал NOUN masc inan plur datv
572	государства	0 государство NOUN neut inan sing gent
573	,	0 , PNCT
573	чужд	0 чуждый ADJS masc sing
574	революционных	0 революционный ADJF plur gent
575	настроений	0 настроение NOUN neut inan plur gent
576	...	0 ... PNCT
/sent
sent
576	На	0 на PREP
577	старт	0 старт NOUN masc inan sing accs
578	предвыборной	0 предвыборный ADJF femn sing gent
579	гонки	0 гонка NOUN femn inan sing gent
580	правые	0 правый ADJF plur nomn
581	партии	0 партия NOUN femn inan plur nomn
582	и	0 и CONJ
583	центристы	0 центрист NOUN masc anim plur nomn
584	,	0 , PNCT
584	претендующие	0 претендовать PRTF impf intr actv plur nomn pres
585	на	0 на PREP
586	формирование	0 формирование NOUN neut inan sing accs
587	конструктивного	0 конструктивный ADJF neut sing gent
588	парламентского	0 парламентский ADJF neut sing gent
589	большинства	0 большинство NOUN neut inan sing gent
590	,	0 , PNCT
590	выходят	0 выходить VERB impf intr actv plur pres 3per indc
591	,	0 , PNCT
591	мягко	0 мягко ADVB
592	говоря	0 говорить GRND impf tran actv pres
593	,	0 , PNCT
593	не	0 не PRCL
594	в	0 в PREP
595	лучшей	0 лучший ADJF femn sing loct
596	форме	0 форма NOUN femn inan sing loct
597	.	0 . PNCT
/sent
sent
597	Ф	0 Ф UNKN
598	.	0 . PNCT
598	НЕВЕРОВ	0 Неверов NOUN masc anim sing nomn
599	.	0 . PNCT
/sent
sent
599	МИХАИЛ	0 Михаил NOUN masc anim sing nomn
