sent
1	Кстати	0 кстати CONJ Prnt
321	,	0 , PNCT
322	с	0 с PREP
323	которыми	0 который ADJF Apro plur ablt
324	нельзя	0 нельзя PRED
325	проводить	0 проводить INFN impf tran actv
326	подобную	0 подобный ADJF femn sing accs
327	процедуру	0 процедура NOUN femn inan sing accs
328	.	0 . PNCT
/sent
sent
328	Приглашая	0 приглашать GRND impf tran actv pres
329	гостей	0 гость NOUN masc anim plur accs
330	,	0 , PNCT
330	постарайтесь	0 постараться VERB perf intr plur impr excl
331	,	0 , PNCT
331	чтобы	0 чтобы CONJ
332	привычный	0 привычный ADJF masc sing nomn
333	детский	0 детский ADJF masc sing nomn
334	распорядок	0 распорядок NOUN masc inan sing nomn
335	не	0 не PRCL
336	нарушался	0 нарушаться VERB impf intr masc sing past indc
337	,	0 , PNCT
337	а	0 а CONJ
338	контакт	0 контакт NOUN masc inan sing nomn
339	с	0 с PREP
340	пришедшими	0 прийти PRTF perf intr actv plur ablt past
341	был	0 быть VERB impf intr actv masc sing past indc
342	минимальным	0 минимальный ADJF masc sing ablt
343	.	0 . PNCT
/sent
sent
343	Минимум	0 минимум NOUN masc inan sing nomn
344	для	0 для PREP
345	системы	0 система NOUN femn inan sing gent
346	,	0 , PNCT
346	умеющей	0 уметь PRTF impf intr actv femn sing gent pres
347	самостоятельно	0 самостоятельно ADVB
348	прокладывать	0 прокладывать INFN impf tran actv
349	маршрут	0 маршрут NOUN masc inan sing accs
350	,	0 , PNCT
350	составит	0 составить VERB perf tran sing actv futr 3per indc
351	около	0 около PREP
352	500	0 500 NUMR
353	долларов	0 доллар NOUN masc inan plur gent
354	--	0 -- PNCT
354	максимум	0 максимум NOUN masc inan sing nomn
355	достигает	0 достигать VERB impf intr sing actv pres 3per indc
356	5000	0 5000 NUMR
357	.	0 . PNCT
/sent
sent
357	Отсутствие	0 отсутствие NOUN neut inan sing nomn
358	аналитических	0 аналитический ADJF plur gent
359	формулировок	0 формулировка NOUN femn inan plur gent
360	целевых	0 целевой ADJF plur gent
361	функций	0 функция NOUN femn inan plur gent
362	и	0 и CONJ
363	ограничений	0 ограничение NOUN neut inan plur gent
364	осложняет	0 осложнять VERB impf tran sing actv pres 3per indc
365	идентификацию	0 идентификация NOUN femn inan sing accs
366	свойств	0 свойство NOUN neut inan plur gent
367	моделей	0 модель NOUN femn inan plur gent
368	на	0 на PREP
369	априорном	0 априорный ADJF masc sing loct
370	уровне	0 уровень NOUN masc inan sing loct
371	,	0 , PNCT
371	что	0 что ADJF Apro Subx neut sing nomn
372	приводит	0 приводить VERB impf tran sing actv pres 3per indc
373	к	0 к PREP
374	необходимости	0 необходимость NOUN femn inan sing datv
375	рассмотрения	0 рассмотрение NOUN neut inan sing gent
376	слабоформализованных	0 слабоформализованный ADJF plur gent
377	задач	0 задача NOUN femn inan plur gent
378	оптимизации	0 оптимизация NOUN femn inan sing gent
379	.	0 . PNCT
/sent
sent
379	Поздно	0 поздно ADVB
380	вечером	0 вечер NOUN masc inan sing ablt
381	,	0 , PNCT
381	когда	0 когда ADVB Ques
382	солнце	0 солнце NOUN neut inan sing nomn
383	уже	0 уже ADVB
384	село	0 сесть VERB perf intr actv neut sing past indc
385	.	0 . PNCT
386	.	0 . PNCT
387	.	0 . PNCT
388	"	0 " PNCT
/sent
sent
389	Школа	0 школа NOUN femn inan sing nomn
390	№	0 № PNCT
390	162	0 162 NUMR
391	--	0 -- PNCT
391	одна	0 один ADJF Apro sing femn nomn
392	из	0 из PREP
393	первых	0 первый ADJF Anum plur gent
394	в	0 в PREP
395	новосибирском	0 новосибирский ADJF masc sing loct
396	Академгородке	0 академгородок NOUN masc inan sing loct
397	,	0 , PNCT
397	отпраздновала	0 отпраздновать VERB perf tran actv femn sing past indc
398	своё	0 свой ADJF Apro neut sing accs inan
399	40-летие	0 40-летие NOUN neut inan sing accs
400	.	0 . PNCT
/sent
sent
400	Выбор	0 выбор NOUN masc inan sing nomn
401	N	0 N UNKN
402	похожих	0 похожий ADJF plur gent
403	на	0 на PREP
404	P	0 P UNKN
405	хромосом	0 хромосома NOUN femn inan plur gent
406	<	0 < PNCT
407	 	0   PNCT
408	f	0 f PNCT
409	o	0 o PNCT
410	r	0 r PNCT
411	m	0 m PNCT
412	u	0 u PNCT
413	l	0 l PNCT
414	a	0 a PNCT
415	>	0 > PNCT
416	.	0 . PNCT
/sent
sent
417	Это	0 это ADJF Apro Subx neut sing nomn
418	и	0 и CONJ
419	гортензии	0 гортензия NOUN femn inan plur nomn
420	,	0 , PNCT
420	чьи	0 чей ADJF Apro plur nomn
421	соцветия	0 соцветие NOUN neut inan plur nomn
422	ярче	0 яркий COMP
423	на	0 на PREP
424	кислых	0 кислый ADJF plur loct
425	почвах	0 почва NOUN femn inan plur loct
426	,	0 , PNCT
426	и	0 и CONJ
427	люпины	0 люпин NOUN masc inan plur nomn
428	,	0 , PNCT
428	и	0 и CONJ
429	рододендроны	0 рододендрон NOUN masc inan plur nomn
430	.	0 . PNCT
/sent
sent
430	Компания	0 компания NOUN femn inan sing nomn
431	"	0 " PNCT
431	Вимм-Билль-Данн	0 Вимм-Билль-Данн NOUN inan sing nomn
432	"	0 " PNCT
433	-	0 - PNCT
434	-	0 - PNCT
435	владелец	0 владелец NOUN masc anim sing nomn
436	контрольного	0 контрольный ADJF masc sing gent
437	пакета	0 пакет NOUN masc inan sing gent
438	акций	0 акция NOUN femn inan plur gent
439	молочного	0 молочный ADJF masc sing gent
440	комбината	0 комбинат NOUN masc inan sing gent
441	"	0 " PNCT
441	Нижегородский	0 нижегородский ADJF masc sing nomn
442	"	0 " PNCT
443	-	0 - PNCT
444	-	0 - PNCT
445	совместно	0 совместно ADVB
446	с	0 с PREP
447	РА	0 РА NOUN femn inan Fixd sing ablt
448	АПР	0 АПР NOUN femn inan Fixd sing ablt
449	провела	0 провести VERB perf tran femn sing actv past indc
450	за	0 за PREP
451	год	0 год NOUN masc inan sing accs
452	66	0 66 NUMR
453	дегустаций	0 дегустация NOUN femn inan plur gent
454	полного	0 полный ADJF masc sing gent
455	ассортимента	0 ассортимент NOUN masc inan sing gent
456	м	0 молочный ADJF masc sing gent
457	/	0 / PNCT
457	к	0 комбинат NOUN masc inan sing gent
458	"	0 " PNCT
458	нижегородский	0 нижегородский ADJF masc sing nomn
459	"	0 " PNCT
459	и	0 и CONJ
460	72	0 72 NUMR
461	дегустации	0 дегустация NOUN femn inan sing gent
462	соков	0 сок NOUN masc inan plur gent
463	и	0 и CONJ
464	морсов	0 морс NOUN masc inan plur gent
465	(	0 ( PNCT
465	62	0 62 NUMR
466	--	0 -- PNCT
466	в	0 в PREP
467	магазинах	0 магазин NOUN masc inan plur loct
468	,	0 , PNCT
468	10	0 10 NUMR
469	--	0 -- PNCT
469	на	0 на PREP
470	оптовых	0 оптовый ADJF plur loct
471	базах	0 база NOUN femn inan plur loct
472	)	0 ) PNCT
472	и	0 и CONJ
473	напитков	0 напиток NOUN masc inan plur gent
474	"	0 " PNCT
474	ДГ	0 ДГ NOUN inan Fixd sing nomn
475	"	0 " PNCT
475	и	0 и CONJ
476	морсов	0 морс NOUN masc inan plur gent
477	в	0 в PREP
478	мини-упаковках	0 мини-упаковка NOUN femn inan plur loct
479	(	0 ( PNCT
479	шесть	0 шесть NUMR nomn
480	ди-джей-вечеринок	0 ди-джей-вечеринка NOUN femn inan plur gent
481	в	0 в PREP
482	ночных	0 ночной ADJF plur loct
483	клубах	0 клуб NOUN masc inan plur loct
484	"	0 " PNCT
484	Рокко	0 рокко NOUN inan Fixd sing nomn
485	"	0 " PNCT
485	и	0 и CONJ
486	"	0 " PNCT
486	Молодёжный	0 молодежный ADJF masc sing nomn
487	центр	0 центр NOUN masc inan sing nomn
488	"	0 " PNCT
489	)	0 ) PNCT
490	.	0 . PNCT
/sent
sent
491	Они	0 они ADJF Apro Subx plur 3per nomn
492	и	0 и CONJ
493	передали	0 передать VERB perf tran plur actv past indc
494	Владыке	0 владыка NOUN masc anim sing datv
495	пожелание	0 пожелание NOUN neut inan sing accs
496	христиан	0 христианин NOUN masc anim plur gent
497	,	0 , PNCT
497	проживающих	0 проживать PRTF impf intr actv plur gent pres
498	в	0 в PREP
499	республике	0 республика NOUN femn inan sing loct
500	,	0 , PNCT
500	видеть	0 видеть INFN impf tran actv
501	у	0 у PREP
502	себя	0 себя ADJF Apro Subx gent
503	в	0 в PREP
504	церкви	0 церковь NOUN femn inan sing loct
505	нового	0 новый ADJF masc sing accs anim
506	батюшку	0 батюшка NOUN masc anim sing accs
507	.	0 . PNCT
/sent
sent
507	Сонливость	0 сонливость NOUN femn inan sing accs
508	как	0 как CONJ
509	рукой	0 рука NOUN femn inan sing ablt
510	сняло	0 снять VERB perf tran neut sing actv past indc
511	!	0 ! PNCT
/sent
sent
511	Шесть	0 шесть NUMR nomn
512	миллионов	0 миллион NOUN masc inan plur gent
513	долларов	0 доллар NOUN masc inan plur gent
514	не	0 не PRCL
515	изменят	0 изменить VERB perf tran plur actv futr 3per indc
516	тебя	0 ты ADJF Apro Subx sing 2per accs
517	--	0 -- PNCT
517	я	0 я ADJF Apro Subx sing 1per nomn
518	имел	0 иметь VERB impf tran masc sing actv past indc
519	возможность	0 возможность NOUN femn inan sing accs
520	в	0 в PREP
521	этом	0 это ADJF Apro Subx neut sing loct
522	убедиться	0 убедиться INFN perf intr
523	.	0 . PNCT
/sent
sent
523	Жиры	0 жир NOUN masc inan plur nomn
524	и	0 и CONJ
525	раст	0 растительный plur nomn
526	.	0 . PNCT
526	масла	0 масло NOUN neut inan plur nomn
527	/	0 / PNCT
527	6	0 6 NUMR
528	,	0 , PNCT
528	18	0 18 NUMR
529	,	0 , PNCT
529	3	0 3 NUMR
530	/	0 / PNCT
530	73	0 73 NUMR
531	,	0 , PNCT
531	0	0 0 NUMR
532	/	0 / PNCT
532	2	0 2 NUMR
533	,	0 , PNCT
533	8	0 8 NUMR
/sent
sent
534	Собственный	0 собственный ADJF masc sing nomn
535	опыт	0 опыт NOUN masc inan sing nomn
536	российской	0 российский ADJF femn sing gent
537	компании	0 компания NOUN femn inan sing gent
538	,	0 , PNCT
538	её	0 ее ADJF Apro
539	финансовые	0 финансовый ADJF plur nomn
540	и	0 и CONJ
541	технические	0 технический ADJF plur nomn
542	возможности	0 возможность NOUN femn inan plur nomn
543	позволили	0 позволить VERB perf tran plur actv past indc
544	«	0 « PNCT
544	Ингосстраху	0 Ингосстрах NOUN masc inan sing datv
545	»	0 » PNCT
545	предложить	0 предложить INFN perf tran actv
546	на	0 на PREP
547	отечественном	0 отечественный ADJF masc sing loct
548	страховом	0 страховой ADJF masc sing loct
549	рынке	0 рынок NOUN masc inan sing loct
550	качественно	0 качественно ADVB
551	новую	0 новый ADJF femn sing accs
552	услугу	0 услуга NOUN femn inan sing accs
553	.	0 . PNCT
/sent
sent
553	В	0 в PREP
554	таких	0 такой ADJF Apro plur loct
555	случаях	0 случай NOUN masc inan plur loct
556	говорят	0 говорить VERB impf tran plur actv pres 3per indc
557	:	0 : PNCT
557	побеждает	0 побеждать VERB impf tran sing actv pres 3per indc
558	дружба	0 дружба NOUN femn inan sing nomn
559	.	0 . PNCT
/sent
sent
559	На	0 на PREP
560	них	0 они ADJF Apro Subx plur 3per accs
561	ещё	0 еще ADVB
562	как-то	0 как-то ADVB Ques
563	могли	0 мочь VERB impf intr actv plur past indc
564	повлиять	0 повлиять INFN perf intr actv
565	решения	0 решение NOUN neut inan plur nomn
566	,	0 , PNCT
566	принятые	0 принять PRTF perf tran plur nomn pssv past
567	год	0 год NOUN masc inan sing accs
568	или	0 или CONJ
569	два	0 два NUMR masc accs
570	назад	0 назад ADVB
571	,	0 , PNCT
571	но	0 но CONJ
572	уж	0 уж PRCL
573	сегодняшние	0 сегодняшний ADJF plur nomn
574	,	0 , PNCT
574	а	0 а CONJ
575	тем	0 то ADJF Apro Subx neut sing ablt
576	более	0 более ADVB
577	завтрашние	0 завтрашний ADJF plur nomn
578	--	0 -- PNCT
578	увольте	0 уволить VERB perf tran plur actv impr excl
579	!	0 ! PNCT
/sent
sent
579	24	0 24 NUMR
580	января	0 январь NOUN masc inan sing gent
581	Марина	0 Марина NOUN femn anim sing nomn
582	Андреевна	0 Андреевна NOUN femn anim sing nomn
